cycle,purity,recovery,co2_product_mol,net_co2_released_mol,feed_co2_in_mol,energy_balance_error_j,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.8935143958947623,0.1642521247238836,0.7397618247785256,0.7397618247785256,4.503818906587077,-2.104570739902556e-08,11.873269299504479,2.2719326420173047e-13,,4.911390994892174,2.654261572020371e-27
2,0.902008222549657,0.1803115942533509,0.8120932899169446,0.8120932899169446,4.503832897045403,-5.212050382397138e-07,12.104015816740143,2.445526420258304e-13,0.0016181978201939516,4.919617505003263,2.8958616314718635e-27
3,0.9023244541754261,0.1809627135376646,0.8150261332553779,0.8150261332553779,4.503834615000635,-4.1203657019650564e-07,12.147793151439918,1.0509280416932422e-12,5.745132255305966e-05,4.919910558909226,2.9068814005990146e-27
4,0.902337306600516,0.18098926468460852,0.8151457279528636,0.8151457279528636,4.503834685296582,-4.4127409637439996e-07,12.149578115358738,1.7382928795928003e-12,2.3307254034479507e-06,4.919922449435754,2.907282425293502e-27
5,0.9023378294072598,0.18099034488108282,0.8151505934146357,0.8151505934146357,4.503834687702369,-1.8534501577960327e-07,12.149650732359241,1.803634156496937e-12,9.47516347759561e-08,4.919922932847601,2.907298741691205e-27
