area_m2,flow_m3_h,salt_kg_h,permeate_m3_h,permeate_salt_kg_h,bulk_g_L,surface_g_L,local_permeate_mg_L,flux_L_m2_h,pressure_bar,net_driving_bar
0.0,14.7916666666667,473.3333333333344,0.0,0.0,32.0,41.482890435527054,52.76783308253145,38.98840026370956,60.0,27.313579043404353
1.85,14.719705907924501,473.32952030502094,0.07196075874219894,0.0038130283134826847,32.1561805151419,41.63496296459044,53.20861825453859,38.80692979550219,59.9925,27.186448718899257
3.7,14.648081338576375,473.32569332605175,0.14358532809032593,0.0076400072826499806,32.3131529915476,41.787490390844255,53.65482623423172,38.62495313806584,59.985,27.058963780215862
5.550000000000001,14.576793890209926,473.32185235534934,0.2148727764567747,0.011480977985020844,32.47091616444148,41.94046810606973,54.10653816794975,38.44247557247142,59.9775,26.931127927043
7.4,14.50584448450674,473.31799735227304,0.2858221821599606,0.015335981061317065,32.62946861575759,42.09389137240443,54.56383655204962,38.25950252731245,59.97,26.802944962417364
9.25,14.435234032968232,473.314128276631,0.35643263369846856,0.019205056703375,32.78880877134669,42.247755321330054,55.02680525635461,38.07603957987128,59.9625,26.674418793540603
11.100000000000001,14.364963436639107,473.3102450886924,0.4267032300275943,0.023088244641951812,32.94893489818936,42.402054952697256,55.495529548004065,37.892092457244175,59.955,26.54555343256748
12.950000000000001,14.29503358582946,473.3063477491999,0.4966330808372413,0.026985584134471774,33.10984510161517,42.55678513378725,55.970096115705815,37.70766703742546,59.9475,26.41635299736538
14.8,14.225445359834799,473.3024362193817,0.5662213068319015,0.030897113952680758,33.2715373225319,42.711940598413456,56.450593094401306,37.52276935034704,59.94,26.286821712242507
16.650000000000002,14.156199626654088,473.29851046096417,0.635467040012613,0.034822872370213566,33.43400933466713,42.86751594606484,56.93711009035071,37.337405578871284,59.9325,26.15696390864357
18.5,14.087297242705926,473.2945704361843,0.7043694239607742,0.038762897150079315,33.597258741824675,43.0235056410928,57.42973820664376,37.151582059735595,59.925,26.026784025811395
20.35,14.018739052542996,473.2906161078023,0.7729276141237039,0.04271722553207002,33.76128297515799,43.17990401192852,57.92857006920164,36.96530528439672,59.9175,25.896286611424898
22.200000000000003,13.950525888564878,473.2866474391143,0.8411407781018229,0.0466858942200975,33.92607929046339,43.33670525041921,58.43369985292389,36.77858190007287,59.91,25.765476322143442
24.05,13.882658570729356,473.2826643939649,0.909008095937344,0.050668939369463886,34.091644765495374,43.493903411068956,58.94522330886652,36.5914187102317,59.9025,25.634357924227153
25.900000000000002,13.815137906262347,473.2786669367603,0.9765287604043532,0.054666396574070804,34.25797629730681,43.65149241047334,59.46323779128751,36.40382267552238,59.895,25.50293629400432
27.75,13.747964689366537,473.2746550324808,1.043701977300163,0.05867830085357238,34.42507059961672,43.80946602673437,59.98784228544248,36.21580091439971,59.8875,25.371216418354997
29.6,13.68113970092888,473.2706286466939,1.110526965737821,0.06270468664047744,34.59292420020835,43.96781789894258,60.51913743579036,36.02736070373599,59.88,25.239203395141743
31.450000000000003,13.614663708227043,473.26658774556716,1.1770029584396577,0.06674558776720567,34.76153343836047,44.126541526715904,61.057225574665814,35.83850947937554,59.8725,25.106902433596126
33.300000000000004,13.548537464634945,473.2625322958813,1.2431292020317564,0.07080103745310345,34.93089446231479,44.28563026979695,61.60221075142559,35.64925483662938,59.865,24.97431885465943
35.15,13.482761709327477,473.25846226504297,1.3089049573392235,0.074871068291424,35.101003226782474,44.44507734770445,62.154198762101906,35.45960453068792,59.8575,24.841458091281012
37.0,13.417337166984549,473.2543776210981,1.3743294996821511,0.07895571223627736,35.271855490492875,44.60487583944942,62.71329717953217,35.26956647697948,59.85,24.708325688666065
38.85,13.352264547494556,473.2502783327448,1.439402119172145,0.08305500058955526,35.44344681378758,44.76501868331288,63.27961538399429,35.0791487514554,59.8425,24.57492730447511
40.7,13.287544545627147,473.24616436934787,1.504122121039554,0.08716896398650201,35.61577255634416,44.92549867676426,63.8532645946169,34.88835959071697,59.835,24.441268708913164
42.550000000000004,13.223177840242634,473.24203570097353,1.5684888264240668,0.09129763236085317,35.78882787621118,45.086308477631675,64.43435790548389,34.69720739073849,59.8275,24.307355783834936
44.400000000000006,13.159165095167994,473.2378922983509,1.6325015714987061,0.0954410349834629,35.96260772441577,45.24744060110967,65.02301030754388,34.505700710261515,59.82,24.17319452512286
46.25,13.095506958463602,473.23373413290443,1.6961597082030988,0.09959920042997135,36.137106843890024,45.40888742087133,65.619338724843,34.3138482695833,59.8125,24.038791041838294
