pressure_bar,permeate_m3_day,recovery,permeate_mg_L,brine_g_L,rejection,sec_no_erd_kWh_m3,sec_pressure_exchanger_kWh_m3,salt_balance_kg_h,water_balance_kg_h,volume_balance_m3_h,feed_osmotic_bar
45.0,89.03711501740247,0.2508087746969078,123.70056424613966,42.67131505727228,0.9961343573673082,5.86338431369183,1.7736911647035591,-5.950795411990839e-14,-3.183231456205249e-12,-2.6645352591003757e-15,25.246497111484413
47.0,97.29564297146983,0.2740722337224496,116.35149948563797,44.03759267752869,0.9963640156410738,5.604171176178833,1.813365929468353,-7.915890165577366e-14,-1.8189894035458565e-12,-1.7763568394002505e-15,25.246497111484413
49.0,105.3800086828085,0.29684509488115,110.40733639044076,45.462565774678595,0.9965497707377987,5.394420245291944,1.8571487946292586,9.658940314238862e-15,0.0,0.0,25.246497111484413
51.0,113.28616618091134,0.31911596107298895,105.54524454318454,46.94825697225314,0.9967017111080255,5.2227618482720235,1.9040883155562016,-1.9484414082171497e-14,9.094947017729282e-13,1.7763568394002505e-15,25.246497111484413
53.0,121.01061682945107,0.3408749769843684,101.53587082408436,48.49670069590374,0.9968270040367474,5.081118476673269,1.953508570710715,-9.103828801926284e-15,-9.094947017729282e-13,-1.7763568394002505e-15,25.246497111484413
55.0,128.55029428124715,0.36211350501759676,98.21189506663833,50.10991202647232,0.9969308782791676,4.963597314128589,2.0049164055338484,-6.061817714453355e-14,9.094947017729282e-13,8.881784197001252e-16,25.246497111484413
57.0,135.90250514030774,0.38282395814171105,95.44845273016895,51.7898587723639,0.9970172358521823,4.865800737971781,2.0579437146348325,-3.552713678800501e-14,-1.8189894035458565e-12,-8.881784197001252e-16,25.246497111484413
59.0,143.06489482541235,0.40299970373355504,93.15052216910031,53.538433007574575,0.9970890461822156,4.784382115670669,2.1123102707842496,-5.040412531798211e-14,9.094947017729282e-13,1.7763568394002505e-15,25.246497111484413
61.0,150.03543312076948,0.42263502287540605,91.24454608038548,55.357422298725375,0.9971486079349879,4.716750729092464,2.1677990436469767,3.9968028886505635e-14,0.0,8.881784197001252e-16,25.246497111484413
63.0,156.81241000907866,0.441725098617122,89.67271940202336,57.248479611050435,0.9971977275186867,4.66087060902172,2.224239379472684,-3.952393967665557e-14,1.8189894035458565e-12,8.881784197001252e-16,25.246497111484413
65.0,163.39443872478878,0.46026602457686877,88.38900313433831,59.21309200491989,0.9972378436520519,4.615120154673049,2.281495267968299,1.942890293094024e-14,-1.8189894035458565e-12,-8.881784197001252e-16,25.246497111484413
67.0,169.78046288933626,0.47825482504038275,87.35628507486211,61.252548119182684,0.9972701160914106,4.5781921457358035,2.339456988571,-8.471001677889944e-14,-1.8189894035458565e-12,-8.881784197001252e-16,25.246497111484413
69.0,175.96976584649187,0.4956894812577225,86.54431997317899,63.367904700115986,0.9972954900008382,4.549021203885359,2.3980350526908363,1.687538997430238e-14,1.8189894035458565e-12,1.7763568394002505e-15,25.246497111484413
71.0,181.96198214945946,0.5125689638012931,85.92820928892635,65.55995308796105,0.997314743459721,4.52673025830723,2.457155735850137,1.0880185641326534e-14,-2.7284841053187847e-12,-1.7763568394002505e-15,25.246497111484413
73.0,187.7571077864836,0.5288932613703752,85.48726369752404,67.82918549466902,0.9973285230094524,4.5105904901330724,2.5167577360714097,1.1968204205459188e-13,-1.8189894035458565e-12,0.0,25.246497111484413
75.0,193.35550877689678,0.5446634050053418,85.20414021275649,70.1757617861706,0.9973373706183514,4.499990947864076,2.576789640277286,4.6629367034256575e-15,-9.094947017729282e-13,0.0,25.246497111484413
