stream,flow_m3_h,salt_kg_h,water_kg_h
feed,14.7916666666667,473.3333333333344,14318.333333333367
brine,8.684405842113671,472.77053417330535,8211.635307940365
permeate,6.1072608245530295,0.5627991600290204,6106.6980253930005
