case,permeate_m3_day,recovery,permeate_mg_L,brine_g_L,rejection,sec_no_erd_kWh_m3,sec_pressure_exchanger_kWh_m3,salt_balance_kg_h,water_balance_kg_h,volume_balance_m3_h,feed_osmotic_bar
baseline,146.5742597892727,0.4128852388430208,92.15246838097991,54.43901894596846,0.9971202353630944,4.7489813857718985,2.139925975604472,2.3869795029440866e-14,-9.094947017729282e-13,-8.881784197001252e-16,25.246497111484413
low film transfer,135.07094486529635,0.3804815348318199,103.75590543421552,51.589298125563104,0.9967576279551807,5.153428311815959,2.1659116906028038,1.3211653993039363e-14,-9.094947017729282e-13,8.881784197001252e-16,25.246497111484413
high film transfer,152.78016233546393,0.4303666544660946,86.61815734779341,56.11104526096205,0.9972931825828815,4.5560786212816735,2.1275319729859747,8.959499808725013e-14,-1.8189894035458565e-12,-1.7763568394002505e-15,25.246497111484413
ideal osmotic coefficient,135.9960747176075,0.3830875344157949,95.5576281183289,51.811877449389456,0.9970138241213022,5.1183714884267095,2.163659289700044,3.064215547965432e-14,-1.8189894035458565e-12,-8.881784197001252e-16,27.14677108761765
higher pressure loss,144.8091622802248,0.4079131331837309,92.77107472086503,53.98220979314508,0.997100903914973,4.806867330849876,2.1842018305697546,-1.1879386363489175e-14,-9.094947017729282e-13,0.0,25.246497111484413
