cycle,purity,recovery,co2_product_mol,purge_co2_in_mol,net_co2_released_mol,purge_total_in_mol,feed_co2_in_mol,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.09639904236036755,0.3422669385283809,3.040201223377454,1.499999999999714,1.54020122337774,29.99999999999951,4.5000000000000755,23.210725841979155,8.28660057239361e-13,,5.550960515890083,4.131991456062694e-08
2,0.09672894224481075,0.3448266544429672,3.051719944994117,1.5000000000007105,1.5517199449934065,30.000000000007788,4.500000000000157,23.186979873775737,4.274046394581177e-12,0.001260355811394864,5.597802465206354,6.24046721334129e-08
3,0.09675711967386282,0.34504537292043125,3.052704178140697,1.499999999998689,1.5527041781420081,30.000000000006562,4.500000000000195,23.184921801390004,5.789105306241993e-12,0.0001130243098399061,5.602003087874377,6.465233978703881e-08
4,0.09675964652385456,0.3450649874791868,3.052792443655189,1.499999999998785,1.5527924436564042,30.00000000000663,4.500000000000185,23.184737009512,1.737003596513631e-11,1.0178587669679856e-05,5.602381381768068,6.48579037195772e-08
5,0.09675987408397545,0.34506675390981045,3.052800392592914,1.4999999999987352,1.552800392594179,30.000000000006096,4.500000000000092,23.184720366054513,1.7629304266408852e-11,9.169867038871099e-07,5.602415462180993,6.487644833479831e-08
