cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,co2_rate_cm3_stp_g_s
1,adsorption,0.0,99.99999999999999,5.0,0.05,1.0,1.0,0.0,1.0,0.0
1,adsorption,2.0,100.04629011740035,8.647838452022079,0.08643837209629848,1.06852498505123,1.0,0.07254524680726047,1.003627262340363,0.05521479280863858
1,adsorption,4.0,100.04711012296103,9.411708464375085,0.0940727668476161,1.1663184857411746,1.0,0.05939502452962739,1.0029697512264815,0.04300174941828587
1,adsorption,6.0,100.04720883655338,10.018864545942817,0.1001413698837974,1.247719905499415,1.0,0.05966363847152694,1.0029831819235766,0.04158323989780272
1,adsorption,8.0,100.04726965884468,10.070928235128608,0.10066169990915178,1.3295495536759023,1.0,0.06079493418560246,1.0030397467092802,0.04082905759125188
1,adsorption,10.0,100.04726079043247,10.074677325203114,0.10069918202264821,1.4114704946995165,1.0,0.06307113984900296,1.0031535569924501,0.04096607918823199
1,adsorption,12.0,100.04726156331274,10.075426998009823,0.10070667443140169,1.4933872209197412,1.0,0.06515157747764617,1.0032575788738822,0.0409504860141692
1,adsorption,14.0,100.04726290767547,10.077602531896177,0.10072841813969347,1.5752655281666577,1.0,0.06722566158637014,1.0033612830793186,0.04093070547403556
1,adsorption,16.0,100.04726397605272,10.079693032793308,0.10074931219714293,1.6571112703465378,1.0,0.06930385137245249,1.0034651925686227,0.04091477866358218
1,adsorption,18.0,100.04726506303152,10.081761916770281,0.10076999016833289,1.7389245971629763,1.0,0.0713807742679861,1.0035690387133993,0.04089851198576963
1,adsorption,20.0,100.047266153353,10.083836487888487,0.1007907249802501,1.820705369268785,1.0,0.07345682394455327,1.0036728411972278,0.04088221529137586
1,adsorption,22.0,100.04726723401329,10.085907836038599,0.1008114275869963,1.9024536206985307,1.0,0.07553221487831681,1.003776610743916,0.04086605519111651
1,adsorption,24.0,100.04726832333681,10.08797331556895,0.10083207152609333,1.9841694024516834,1.0,0.07760658835574431,1.0038803294177874,0.0408497508684469
1,adsorption,26.0,100.0472694099239,10.090044689810481,0.10085277438676032,2.0658526539468944,1.0,0.07968020607194126,1.003984010303597,0.040833507657176304
1,adsorption,28.0,100.04727049551894,10.092114797894082,0.10087346459238088,2.1475034229088847,1.0,0.08175300815411907,1.0040876504077059,0.04081727790203519
1,adsorption,30.0,100.04727158198001,10.094182945663341,0.10089413520279801,2.2291217267090753,1.0,0.08382495688849496,1.0041912478444248,0.04080103183884458
1,adsorption,32.0,100.04727266670774,10.09624954738901,0.10091479036138377,2.310707570713148,1.0,0.08589610362947227,1.0042948051814735,0.04078480941672542
1,adsorption,34.0,100.04727375167457,10.098316047832274,0.1009354445069349,2.392260962664385,1.0,0.0879664165398602,1.004398320826993,0.040768585647803265
1,adsorption,36.0,100.04727483595978,10.1003813007709,0.10095608618357428,2.4737819197602033,1.0,0.09003590918074848,1.0045017954590374,0.04075237076577977
1,adsorption,38.0,100.04727592003645,10.102445829863807,0.10097672062494,2.5552704502760135,1.0,0.09210457476862585,1.0046052287384315,0.040736159314007904
