cycle,purity,recovery,co2_product_mol,purge_co2_in_mol,net_co2_released_mol,purge_total_in_mol,feed_co2_in_mol,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.09639904142039303,0.34226693124880775,3.040201190619604,1.499999999999969,1.540201190619635,29.999999999999776,4.5,23.21072605299302,3.4769062629003145e-14,,5.550962276675713,4.1339293606786055e-08
2,0.09672894161667916,0.3448266495797058,3.051719923108916,1.5000000000002167,1.551719923108699,29.999999999999932,4.500000000000067,23.186979635409525,1.0307726894254188e-12,0.0012603612615711551,5.597804428554419,6.24312659447727e-08
3,0.09675711810538708,0.3450453607664667,3.052704123448942,1.4999999999997904,1.5527041234491517,29.999999999999222,4.500000000000149,23.184921564700257,8.840289611455887e-13,0.00011306303371683233,5.602006490421255,6.468088969625161e-08
4,0.09675964726158205,0.34506499321793604,3.0527924694805293,1.499999999999762,1.5527924694807673,29.99999999999959,4.50000000000016,23.184736932636724,1.7902554438897766e-12,1.0146362783617323e-05,5.602383586656072,6.488621441750524e-08
5,0.09675987388569349,0.3450667523817249,3.05280038571755,1.4999999999997264,1.5528003857178234,30.00000000000271,4.500000000000178,23.18472014386251,5.364108462968531e-12,9.083034866776141e-07,5.602417344351501,6.490451870759401e-08
