stream,CO2_flow_mol_s,CH4_flow_mol_s,total_flow_mol_s
feed,0.004,0.006,0.01
retentate,0.0023503596684531225,0.005674964033154687,0.00802532370160781
permeate,0.001649640331946877,0.0003250359674453124,0.0019746762993921893
