cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,pressurization,-2.822843269072324e-11,-1.5996111858076495e-10,-8.496596048370486e-12,-1.6143532490985357e-10
1,adsorption,4.5,25.500000000000167,2.945296485415095,25.502665552628816
1,purge,1.4999999999999751,28.499999999999737,3.040201171872436,28.49746916197088
2,pressurization,0.00022266719741725893,0.0012617807853345653,0.00023350449875803037,0.002476884276831015
2,adsorption,4.500000000000317,25.50000000000039,2.9473243077851876,25.50132546973508
2,purge,1.500000000000199,28.499999999999645,3.051449051684033,28.497471714812747
3,pressurization,0.00024379642465000018,0.0013815130730705505,0.0002440563886256797,0.002581951418918038
3,adsorption,4.499999999970802,25.499999999832994,2.947467752626663,25.50132869249687
3,purge,1.4999999999997087,28.4999999999998,3.052421706093634,28.497471982998945
4,pressurization,0.00024568079607689697,0.0013921911774446016,0.00024501117325570476,0.0025915337110404835
4,adsorption,4.500000000000114,25.500000000001876,2.9474807245247057,25.50132875119678
4,purge,1.4999999999997726,28.499999999999602,3.0525099109529386,28.497472007624935
5,pressurization,0.00024585398607612774,0.0013931725875124812,0.00024509678555517667,0.0025924075778505085
5,adsorption,4.500000000000149,25.50000000000219,2.9474819261078764,25.501328764351285
5,purge,1.4999999999997442,28.500000000003496,3.052517947824118,28.49747200957998
