cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,co2_rate_cm3_stp_g_s
1,pressurization,0.0,99.99999999999999,5.0,0.05,1.0,1.0,0.0,1.0,0.0
1,pressurization,2.0,100.00000000000001,4.99999999997149,0.04999999999971489,0.9999999999998491,1.0,0.0,1.0,-1.1102221933465614e-13
1,pressurization,4.0,100.0,4.999999999939088,0.049999999999390886,0.9999999999994224,1.0,0.0,1.0,-2.320977787144094e-13
1,pressurization,6.0,100.00000000000003,4.999999999905148,0.04999999999905146,0.9999999999987582,1.0,0.0,1.0,-3.5457309150390716e-13
1,pressurization,8.0,100.00000000000003,4.999999999868996,0.04999999999868994,0.999999999997844,1.0,0.0,1.0,-4.808930603255026e-13
1,pressurization,10.0,100.00000000000006,4.999999999830157,0.049999999998301556,0.9999999999966686,1.0,0.0,1.0,-6.127404998340219e-13
1,pressurization,12.0,100.00000000000003,4.999999999788023,0.04999999999788021,0.9999999999952172,1.0,0.0,1.0,-7.522523669016746e-13
1,pressurization,14.0,100.00000000000006,4.99999999974212,0.04999999999742117,0.999999999993472,1.0,0.0,1.0,-9.009590585897814e-13
1,pressurization,16.0,100.00000000000007,4.9999999996916715,0.04999999999691667,0.9999999999914103,1.0,0.0,1.0,-1.061523216939989e-12
1,pressurization,18.0,100.00000000000006,4.999999999635966,0.04999999999635962,0.9999999999890048,1.0,0.0,1.0,-1.2362342164180132e-12
1,pressurization,20.0,100.00000000000007,4.999999999574265,0.04999999999574261,0.9999999999862234,1.0,0.0,1.0,-1.4274094265577634e-12
1,pressurization,22.0,100.00000000000007,4.999999999505663,0.04999999999505659,0.9999999999830285,1.0,0.0,1.0,-1.6379167865676494e-12
1,pressurization,24.0,100.0000000000001,4.999999999429242,0.04999999999429237,0.9999999999793768,1.0,0.0,1.0,-1.8705682455196913e-12
1,pressurization,26.0,100.00000000000011,4.999999999343894,0.04999999999343888,0.9999999999752185,1.0,0.0,1.0,-2.128791643986196e-12
1,pressurization,28.0,100.00000000000014,4.999999999248477,0.04999999999248469,0.999999999970497,1.0,0.0,1.0,-2.4160365964813994e-12
1,pressurization,30.0,100.00000000000016,4.999999999141514,0.049999999991415064,0.9999999999651469,1.0,0.0,1.0,-2.7368818519367333e-12
1,pressurization,32.0,100.00000000000017,4.999999999021671,0.04999999999021661,0.9999999999590945,1.0,0.0,1.0,-3.095209393141888e-12
1,pressurization,34.0,100.0000000000002,4.999999998887273,0.04999999998887264,0.9999999999522569,1.0,0.0,1.0,-3.4960427795562797e-12
1,pressurization,36.0,100.00000000000023,4.999999998736378,0.049999999987363666,0.9999999999445395,1.0,0.0,1.0,-3.945276528316498e-12
1,pressurization,38.0,100.00000000000026,4.999999998566905,0.04999999998566892,0.9999999999358354,1.0,0.0,1.0,-4.449091328367348e-12
1,pressurization,40.0,100.00000000000031,4.999999998376497,0.049999999983764816,0.9999999999260244,1.0,0.0,1.0,-5.014501499573214e-12
1,pressurization,42.0,100.00000000000036,4.99999999816251,0.04999999998162493,0.9999999999149705,1.0,0.0,1.0,-5.649370545533727e-12
1,pressurization,44.0,100.00000000000037,4.999999997921967,0.049999999979219494,0.9999999999025204,1.0,0.0,1.0,-6.362538686672206e-12
1,pressurization,46.0,100.00000000000043,4.999999997651608,0.049999999976515865,0.9999999998885022,1.0,0.0,1.0,-7.1636082313794986e-12
1,pressurization,48.0,100.00000000000045,4.999999997347526,0.049999999973475026,0.9999999998727209,1.0,0.0,1.0,-8.064312223792394e-12
1,pressurization,50.0,100.00000000000054,4.999999997005663,0.04999999997005636,0.9999999998549584,1.0,0.0,1.0,-9.07651746226239e-12
1,pressurization,52.0,100.00000000000058,4.999999996621212,0.04999999996621182,0.9999999998349683,1.0,0.0,1.0,-1.0214520094947677e-11
1,pressurization,54.0,100.00000000000063,4.999999996188758,0.04999999996188727,0.9999999998124731,1.0,0.0,1.0,-1.1494429728312846e-11
1,pressurization,56.0,100.00000000000074,4.999999995702479,0.04999999995702442,0.9999999997871616,1.0,0.0,1.0,-1.2933314022267382e-11
1,pressurization,58.0,100.00000000000082,4.999999995155476,0.04999999995155436,0.9999999997586824,1.0,0.0,1.0,-1.4551743130808258e-11
1,pressurization,60.0,100.00000000000095,4.999999994522062,0.04999999994522014,0.9999999997271782,1.0,0.0,1.0,-1.6455320672292853e-11
1,adsorption,60.0,100.00000000000095,4.999999994522062,0.04999999994522014,0.9999999997271782,1.0,0.0,1.0,-1.6455320672292853e-11
1,adsorption,62.0,100.04629012464498,8.647848133631078,0.08643846886133368,1.068524904483822,1.0,0.07254510650096421,1.0036272553250483,0.055214684981075644
1,adsorption,64.0,100.04711012861584,9.411720041674277,0.09407288256077576,1.1663182140252413,1.0,0.05939490967887521,1.0029697454839437,0.04300166526901784
1,adsorption,66.0,100.04720883614316,10.018863580604425,0.1001413602353792,1.2477196119091294,1.0,0.059663635050771636,1.0029831817525385,0.04158324310141929
1,adsorption,68.0,100.04726965792162,10.07092663378932,0.10066168390425352,1.329549262498675,1.0,0.060794938149397654,1.0030397469074699,0.04082906650655667
1,adsorption,70.0,100.04726079345579,10.074678274475591,0.10069919150784573,1.411470197498772,1.0,0.06307107823856964,1.0031535539119285,0.04096603707610888
1,adsorption,72.0,100.04726156326942,10.075427877186586,0.10070668321905976,1.4933869196270617,1.0,0.06515157402198335,1.003257578701099,0.04095048934460578
1,adsorption,74.0,100.04726291098699,10.077604961675954,0.10072844242267873,1.5752652246773897,1.0,0.06722560006258975,1.0033612800031295,0.04093066355527221
1,adsorption,76.0,100.0472639741229,10.079694216705448,0.10074932403261472,1.6571109650668465,1.0,0.06930388500352092,1.003465194250176,0.040914811001409396
1,adsorption,78.0,100.04726505905532,10.081760376187002,0.10076997477378316,1.7389243017637346,1.0,0.07138083663158666,1.0035690418315792,0.0408985665373629
1,adsorption,80.0,100.04726615253836,10.08383313478018,0.10079069146582907,1.8207050871764945,1.0,0.07345681927117804,1.003672840963559,0.04088221728798899
1,adsorption,82.0,100.04726723647411,10.085909383970028,0.1008114430565178,1.9024533205674703,1.0,0.07553216625364553,1.0037766083126822,0.04086602326649412
