cycle,purity,recovery,co2_product_mol,purge_co2_in_mol,net_co2_released_mol,purge_total_in_mol,feed_co2_in_mol,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.09639904088318067,0.3422669270849161,3.040201171872436,1.4999999999999751,1.5402011718724609,29.999999999999712,4.499999999971772,23.210725790614887,1.546540673302843e-13,,5.550962320613881,4.133942034380432e-08
2,0.0967211865746135,0.34474939717814307,3.051449051684033,1.500000000000199,1.551449051683834,29.999999999999844,4.500222667197734,23.201437223534523,1.5802359421002166e-12,0.0012294472543928833,5.5966555331277785,6.18277846067605e-08
3,0.09674903301334789,0.34496391225234607,3.052421706093634,1.4999999999997087,1.5524217060939254,29.99999999999951,4.500243796395452,23.199418084908295,6.949545106049726e-13,0.00011145911631160483,5.600797984343517,6.402769699077624e-08
4,0.09675155817301753,0.3449833678143753,3.0525099109529386,1.4999999999997726,1.552509910953166,29.999999999999375,4.500245680796191,23.199167519458463,1.3108437946218743e-12,1.014081836021169e-05,5.601174874515178,6.423057244316594e-08
5,0.09675178825556989,0.34498514041164774,3.052517947824118,1.4999999999997442,1.5525179478243736,30.00000000000324,4.500245853986225,23.199144266328528,6.01028948832294e-12,8.926596573900769e-07,5.601208050797616,6.424903317822298e-08
