stream,A_mol_s,B_mol_s,H2_mol_s
feed,0.018000000000000002,0.001,0.001
reaction_outlet,0.008087921524668928,0.010912078475331082,0.00025533773960936666
permeate,0.0,0.0,0.011656740735721717
