cycle,purity,recovery,co2_product_mol,net_co2_released_mol,feed_co2_in_mol,energy_balance_error_j,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.8929633328074985,0.16427523284911622,0.7398659068355884,0.7398659068355884,4.503818950694422,1.3133103493601084e-08,11.87364899272965,1.3637008189348876e-13,,4.91150995881998,2.6494717099244978e-27
2,0.9014496766512754,0.18033862147717064,0.8122150249720796,0.8122150249720796,4.503832946704094,-3.319046300021e-07,12.104550450107972,3.409350167633829e-13,0.0016190501175190385,4.9197395351190885,2.8953556290459575e-27
3,0.9017655305834801,0.18098970399229616,0.815147701760516,0.815147701760516,4.503834658988186,-7.495054887840524e-08,12.14832093096532,6.355830202691305e-13,5.746922849501172e-05,4.920032626493002,2.905202453652824e-27
4,0.9017783626788799,0.18101624304943886,0.8152672431581856,0.8152672431581856,4.503834735623814,-4.3515592551557347e-07,12.150104921412533,1.3127805320676394e-12,2.3304704166754785e-06,4.9200445135531625,2.905602776007311e-27
5,0.9017788857872993,0.18101732510390445,0.8152721169989086,0.8152721169989086,4.503834738088965,-5.989950295770541e-07,12.1501776564573,1.574313558883782e-12,9.499719052028041e-08,4.920044998108879,2.9056190948538642e-27
