cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,temperature_k,crystal_length_um,co2_k_eff_s,co2_rate_cm3_stp_g_s
1,adsorption,0.0,5.000000000000001,0.7500000000000001,0.15,0.15,0.85,0.0,1.0,298.0,10.0,0.02,7.776407831913043e-19
1,adsorption,2.0,100.04522855651155,7.139283252971465,0.07136055717978365,0.2696908963548205,0.8643071164070709,0.06374282248231776,1.0,298.2250063410401,10.0,0.020091561675993744,0.06462007152133774
1,adsorption,4.0,100.04601952627077,8.134848603685684,0.081311067068986,0.38736006638805287,0.8773004388253755,0.05218820905144658,1.0,298.41235845336007,10.0,0.020168014492126428,0.053404500761781354
1,adsorption,6.0,100.04667683525192,9.412464838710399,0.09408073447766803,0.48460728931468255,0.8890879700932783,0.0427280917006615,1.0,298.5649375101912,10.0,0.02023042110289367,0.04413849580359591
1,adsorption,8.0,100.0471931706767,10.446941484867326,0.10442013567582292,0.5650179884931171,0.8997713609562997,0.035543430444436336,1.0,298.6888278369794,10.0,0.02028118862503314,0.036935609895617415
1,adsorption,10.0,100.04714459832432,10.503602675651706,0.10498653127805138,0.6415904619918684,0.9094476181412098,0.0389194912114595,1.0,298.8049237445833,10.0,0.020328839442072914,0.03814238538486703
1,adsorption,12.0,100.0472137223602,10.554671022089316,0.10549690120685873,0.7172287914111297,0.9182089732998892,0.03999445102061515,1.0,298.91790575736695,10.0,0.0203752840096435,0.03754257732058597
1,adsorption,14.0,100.04727918311261,10.619502713397466,0.10614484271942075,0.7916936950502323,0.9261395256950739,0.04106513383649865,1.0,299.0274611487457,10.0,0.020420387664947966,0.03695776764584383
1,adsorption,16.0,100.04733832176554,10.681844461882859,0.10676790248560764,0.8650831389382165,0.9333159520988691,0.04218744699678544,1.0,299.13380840853824,10.0,0.02046423433627958,0.03643098851495569
1,adsorption,18.0,100.04739445957628,10.742414928223129,0.1073732603057799,0.9374281042631473,0.9398081164668897,0.04330336632856679,1.0,299.23705608048346,10.0,0.02050686321544608,0.03591578549966943
