cycle,step,co2_in_mol,n2_in_mol,co2_out_mol,n2_out_mol
1,adsorption,4.503818950694422,25.52164072060189,3.7059295417794442,25.489704535018106
1,evacuation,0.0,0.0,0.7398659068355884,0.08868536694340534
2,adsorption,4.503832946704094,25.521720031323515,3.691611554220281,25.433035784086183
2,evacuation,0.0,0.0,0.8122150249720796,0.08879481063994632
3,adsorption,4.503834658988186,25.521729734264895,3.6886866972502617,25.432934964403557
3,evacuation,0.0,0.0,0.815147701760516,0.08879869463044088
4,adsorption,4.503834735623814,25.521730168532656,3.6885674818623997,25.432931475564885
4,evacuation,0.0,0.0,0.8152672431581856,0.08879885212525096
5,adsorption,4.503834738088965,25.5217301825018,3.6885626206576454,25.432931330445754
5,evacuation,0.0,0.0,0.8152721169989086,0.08879885854531722
