cycle,purity,recovery,productivity_mol_kg_s,energy_consumption_j,product_total_mol,feed_target_mol,css_state_delta
1,0.30785905128548596,0.5443690310690582,0.0004282266641709226,769.6902001294995,0.3736265816464629,0.21129843616347702,
2,0.34402153185645956,0.6613548206214594,0.0005202532703080216,769.6902001294995,0.4062049215128723,0.21129843616347702,0.009556455492273491
3,0.3533301697493606,0.6902031611493933,0.0005429467519832801,769.6902001294995,0.41275515388173,0.21129843616347702,0.0023565929104377298
4,0.35565406913134046,0.6973170743383353,0.0005485428956656632,769.6902001294995,0.41428460997973,0.21129843616347702,0.0005811286569602572
5,0.3562287649295092,0.6990713437324727,0.0005499228877075201,769.6902001294995,0.41465680551260775,0.21129843616347702,0.00014330456246586937
6,0.35637057133665356,0.6995039412390027,0.0005502631895553055,769.6902001294995,0.4147483006793047,0.21129843616347702,3.533847002305801e-05
