cycle,purity,recovery,co2_product_mol,net_co2_released_mol,feed_co2_in_mol,energy_balance_error_j,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.9569203214277542,0.14570466244453906,1.967569375496474,1.967569375496474,13.50381890658721,2.8763734007952735e-06,30.220925963227803,3.077677002139012e-13,,4.9973548062796525,2.9411699079365357e-62
2,0.9578247667129048,0.14893050572007696,2.011130684279685,2.011130684279685,13.503819614093807,3.2652828849677462e-06,30.02188322432881,1.6909530136990903e-12,8.603893070586256e-05,4.997784729827244,1.3822186340968708e-61
3,0.9578254011384898,0.14893281568307268,2.011161880475953,2.011161880475953,13.50381963338209,3.2237899176834617e-06,30.022349403805887,6.136552847416931e-12,5.6717114436844095e-08,4.997785013246266,1.3798029655807147e-61
