cycle,purity,recovery,co2_product_mol,net_co2_released_mol,feed_co2_in_mol,energy_balance_error_j,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.9444260099840497,0.3357451931726796,1.5121355487758041,1.5121355487758041,4.503818906494624,5.368747224565595e-07,23.425135689111425,1.860456233515606e-13,,4.989825055238086,5.434792101271763e-27
2,0.9462895034994442,0.34798361282203644,1.567265165939494,1.567265165939494,4.503847618655005,5.808224159409292e-07,23.400167263536773,1.4658871108608716e-13,0.0003909169507275063,4.990621559340605,5.619874697956483e-27
3,0.9462892008881096,0.34798242486331843,1.5672603401605638,1.5672603401605638,4.503849126219972,-5.281423909764271e-06,23.39979347743311,9.52654303370843e-13,7.558377918537232e-07,4.990621210306823,5.57785572183551e-27
