cycle,step,time_s,pressure_kpa,co2_partial_kpa,co2_mole_fraction,co2_loading_cm3_stp_g,n2_loading_cm3_stp_g,open_fraction,solid_volume_l,temperature_k,crystal_length_um,co2_k_eff_s,co2_rate_cm3_stp_g_s
1,adsorption,0.0,5.000000000000001,0.7500000000000001,0.15,0.15,0.85,0.0,1.0,298.0,10.0,0.02,7.776407831913043e-19
1,adsorption,2.0,100.04519747809175,7.099278208026124,0.07096070962907287,0.270009894168323,0.8642815669229331,0.06429000045824172,1.003214500022912,298.2253440286376,10.010703539413244,0.020048757798579182,0.06490384610143397
1,adsorption,4.0,100.045993245555,8.10189950798292,0.0809817489451821,0.3882056505576666,0.8772535942965837,0.05263620048515846,1.002631810024258,298.4135455433933,10.008765015286972,0.020133190515937538,0.053647023637604936
1,adsorption,6.0,100.04665500723536,9.385671586779242,0.09381294743038109,0.48589646553292254,0.8890281915992371,0.0430948760646333,1.0021547438032319,298.5668307253309,10.007177326709792,0.02020218631509499,0.044339833292415094
1,adsorption,8.0,100.0468083576314,10.047918089719525,0.1004321702477687,0.5692199094412804,0.8997041415605675,0.04302860799165373,1.0021514303995827,298.69531215397734,10.007166297856008,0.02025480730092042,0.04271527809195373
1,adsorption,10.0,100.046914733034,10.045834666939271,0.10041123900467754,0.6526802091755368,0.9093760029071528,0.04361262396832963,1.0021806311984165,298.82220463287734,10.007263493550166,0.02030642883057172,0.04159187375819353
1,adsorption,12.0,100.04694796745459,10.056241508289732,0.10051522522767052,0.7358481106273534,0.9181357786449729,0.045568836194576134,1.0022784418097288,298.9468732172925,10.007589045214765,0.020356294657700794,0.04155404730908441
1,adsorption,14.0,100.04697661053284,10.057223593466514,0.1005250126909652,0.8189348659022267,0.9260671436916782,0.0475257144022363,1.0023762857201117,299.06970638304205,10.007914686521453,0.02040548434348448,0.04151634538374519
1,adsorption,16.0,100.04700440918,10.059112173465081,0.1005438616864983,0.9019055533277021,0.933246394418365,0.04945585412481731,1.002472792706241,299.1906954955068,10.008235857557056,0.020454009396829564,0.04145767442890455
1,adsorption,18.0,100.04702954015481,10.061101925690474,0.10056372459966298,0.984768635605047,0.9397430239595675,0.05139466552837338,1.0025697332764187,299.3098978212278,10.008558450790463,0.02050186591531741,0.04140604650611925
