time_s,CO2_concentration_mol_m3,N2_concentration_mol_m3,CO2_mole_fraction,N2_mole_fraction
0.0,0.0,0.0,0.0,0.0
600.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0
