time_s,z_m,component,concentration_mol_m3,loading_mol_kg,pressure_pa
0.0,0.025,CO2,0.0,0.0,499998.9307658737
0.0,0.025,N2,0.0,0.0,499998.9307658737
0.0,0.07500000000000001,CO2,0.0,0.0,499996.7922976211
0.0,0.07500000000000001,N2,0.0,0.0,499996.7922976211
0.0,0.125,CO2,0.0,0.0,499994.6538293685
0.0,0.125,N2,0.0,0.0,499994.6538293685
0.0,0.17500000000000002,CO2,0.0,0.0,499992.51536111586
0.0,0.17500000000000002,N2,0.0,0.0,499992.51536111586
0.0,0.225,CO2,0.0,0.0,499990.37689286325
0.0,0.225,N2,0.0,0.0,499990.37689286325
0.0,0.275,CO2,0.0,0.0,499988.23842461064
0.0,0.275,N2,0.0,0.0,499988.23842461064
0.0,0.325,CO2,0.0,0.0,499986.099956358
0.0,0.325,N2,0.0,0.0,499986.099956358
0.0,0.375,CO2,0.0,0.0,499983.9614881054
0.0,0.375,N2,0.0,0.0,499983.9614881054
0.0,0.42500000000000004,CO2,0.0,0.0,499981.8230198528
0.0,0.42500000000000004,N2,0.0,0.0,499981.8230198528
0.0,0.47500000000000003,CO2,0.0,0.0,499979.6845516002
0.0,0.47500000000000003,N2,0.0,0.0,499979.6845516002
0.0,0.525,CO2,0.0,0.0,499977.5460833476
0.0,0.525,N2,0.0,0.0,499977.5460833476
0.0,0.5750000000000001,CO2,0.0,0.0,499975.40761509497
0.0,0.5750000000000001,N2,0.0,0.0,499975.40761509497
0.0,0.625,CO2,0.0,0.0,499973.26914684236
0.0,0.625,N2,0.0,0.0,499973.26914684236
0.0,0.675,CO2,0.0,0.0,499971.13067858975
0.0,0.675,N2,0.0,0.0,499971.13067858975
0.0,0.7250000000000001,CO2,0.0,0.0,499968.99221033714
0.0,0.7250000000000001,N2,0.0,0.0,499968.99221033714
0.0,0.775,CO2,0.0,0.0,499966.8537420845
0.0,0.775,N2,0.0,0.0,499966.8537420845
0.0,0.8250000000000001,CO2,0.0,0.0,499964.7152738319
0.0,0.8250000000000001,N2,0.0,0.0,499964.7152738319
0.0,0.875,CO2,0.0,0.0,499962.5768055793
0.0,0.875,N2,0.0,0.0,499962.5768055793
0.0,0.925,CO2,0.0,0.0,499960.4383373267
0.0,0.925,N2,0.0,0.0,499960.4383373267
0.0,0.9750000000000001,CO2,0.0,0.0,499958.2998690741
0.0,0.9750000000000001,N2,0.0,0.0,499958.2998690741
50.0,0.025,CO2,15.167818138101914,0.24127417205588317,499998.9307658737
50.0,0.025,N2,165.747313217287,0.09352297540928033,499998.9307658737
50.0,0.07500000000000001,CO2,6.390733309100654,0.1164963410674771,499996.7922976211
50.0,0.07500000000000001,N2,159.89821570474925,0.08899804228094549,499996.7922976211
50.0,0.125,CO2,2.388324241300026,0.04506210706692826,499994.6538293685
50.0,0.125,N2,153.98642955114428,0.08432232438443188,499994.6538293685
50.0,0.17500000000000002,CO2,0.8376548454628269,0.015431925849868043,499992.51536111586
50.0,0.17500000000000002,N2,148.01910198318535,0.07957723845167602,499992.51536111586
50.0,0.225,CO2,0.28449085745559044,0.005008734466881942,499990.37689286325
50.0,0.225,N2,142.00500489778173,0.07480364570833008,499990.37689286325
50.0,0.275,CO2,0.09485026235607258,0.0015884887135968458,499988.23842461064
50.0,0.275,N2,135.9540378160047,0.07002936442051705,499988.23842461064
50.0,0.325,CO2,0.031223467331373867,0.0004979714614858984,499986.099956358
50.0,0.325,N2,129.87679160602676,0.065276784683692,499986.099956358
50.0,0.375,CO2,0.010175588601359923,0.0001549610246292585,499983.9614881054
50.0,0.375,N2,123.78394892895452,0.06056575059689212,499983.9614881054
50.0,0.42500000000000004,CO2,0.0032878757524782906,4.794570200442691e-05,499981.8230198528
50.0,0.42500000000000004,N2,117.68537876763966,0.055914868952060985,499981.8230198528
50.0,0.47500000000000003,CO2,0.0010543161186232998,1.476077478573409e-05,499979.6845516002
50.0,0.47500000000000003,N2,111.58884515770197,0.05134218587316266,499979.6845516002
50.0,0.525,CO2,0.00033576930891055304,4.523609347226516e-06,499977.5460833476
50.0,0.525,N2,105.49837802573403,0.04686558851504134,499977.5460833476
50.0,0.5750000000000001,CO2,0.00010626215437648212,1.3804061823814589e-06,499975.40761509497
50.0,0.5750000000000001,N2,99.41257511714946,0.04250308382508834,499975.40761509497
