cycle,purity,recovery,co2_product_mol,net_co2_released_mol,feed_co2_in_mol,energy_balance_error_j,working_capacity_cm3_stp_g,mass_balance_error_mol,css_state_delta,end_co2_partial_kpa,end_open_fraction
1,0.8935143946788907,0.16425212285495636,0.7397618164262885,0.7397618164262885,4.503818906983253,-4.415596777107567e-09,11.873269174703067,5.88487591990372e-13,,4.911391003521035,2.643385429772006e-27
2,0.9020082220332462,0.18031159343533784,0.8120932866638242,0.8120932866638242,4.5038328994361185,6.884874892421067e-10,12.104015768191777,1.7075754330485304e-12,0.001618198323558449,4.9196175159707245,2.8851876944478345e-27
3,0.902324453289863,0.18096271214774604,0.8150261270249821,0.8150261270249821,4.503834615164026,-9.026734915096313e-09,12.147793058382646,2.3118319087691522e-12,5.7452027395710535e-05,4.919910573190811,2.894993554906272e-27
4,0.9023373047201492,0.18098926125000506,0.8151457124599197,0.8151457124599197,4.503834685163659,-4.083631210960448e-09,12.149577883889194,5.0809188162413785e-12,2.330538275182512e-06,4.919922462766932,2.8953924400433456e-27
5,0.902337828794688,0.18099034405591102,0.8151505897459295,0.8151505897459295,4.503834687966091,-1.737134880386293e-09,12.149650677607102,4.817959721367107e-12,9.502551489747583e-08,4.919922947558403,2.895407949229863e-27
