time_s,component,loading_mol_kg,rate_mol_kg_s
0.0,CO2,0.0,0.009704347826086958
1.5037593984962405,CO2,0.01448383033602648,0.009559509522726693
3.007518796992481,CO2,0.028751488143035683,0.009416832944656601
4.511278195488721,CO2,0.04280619981634003,0.009276285827923557
6.015037593984962,CO2,0.05665114359699876,0.00913783639011697
7.518796992481203,CO2,0.07028945029052434,0.009001453323181714
9.022556390977442,CO2,0.08372420397486295,0.008867105786338328
10.526315789473683,CO2,0.09695844269780757,0.008734763399108883
12.030075187969924,CO2,0.10999515916400207,0.008604396234446938
13.533834586466165,CO2,0.12283730141169247,0.008475974811970034
15.037593984962406,CO2,0.13548777347937702,0.008349470091293188
16.541353383458645,CO2,0.14794943606250605,0.008224853465461897
18.045112781954884,CO2,0.16022510716038182,0.008102096754483139
19.548872180451127,CO2,0.17231756271340193,0.007981172198952939
21.052631578947366,CO2,0.18422953723079288,0.00786205245377903
22.55639097744361,CO2,0.19596372440897358,0.007744710581997222
24.06015037593985,CO2,0.20752277774069117,0.007629120048680046
25.563909774436087,CO2,0.21890931111506376,0.00751525471493632
27.06766917293233,CO2,0.23012589940866907,0.007403088832000267
28.57142857142857,CO2,0.24117507906780944,0.007292597035408863
30.075187969924812,CO2,0.25205934868208835,0.007183754339266074
31.57894736842105,CO2,0.26278116954942404,0.007076536130592717
33.08270676691729,CO2,0.2733429662326325,0.006970918163760633
34.58646616541353,CO2,0.28374712710770145,0.0068668765550099434
36.09022556390977,CO2,0.2939960049038825,0.0067643877770481335
37.59398496240601,CO2,0.3040919172357226,0.006663428653729732
39.097744360902254,CO2,0.3140371471271532,0.006563976354815426
40.6015037593985,CO2,0.323833943527759,0.006466008390809368
42.10526315789473,CO2,0.33348452182134114,0.006369502607873547
43.609022556390975,CO2,0.34299106432688925,0.006274437182818064
45.11278195488722,CO2,0.35235572079207667,0.006180790618166191
46.616541353383454,CO2,0.3615806088793908,0.00608854173729305
48.1203007518797,CO2,0.37066781464500764,0.005997669679636881
49.62406015037594,CO2,0.3796193930105184,0.005908153895981774
51.127819548872175,CO2,0.3884373682276163,0.005819974143810794
52.63157894736842,CO2,0.39712373433584824,0.005733110482728475
54.13533834586466,CO2,0.40568045561353316,0.005647543269951626
55.639097744360896,CO2,0.41410946702195156,0.005563253155867443
57.14285714285714,CO2,0.42241267464290494,0.005480221079657907
58.64661654135338,CO2,0.4305919561097449,0.005398428264989509
60.150375939849624,CO2,0.4386491610319684,0.005317856215767274
61.65413533834586,CO2,0.4465861114134775,0.005238486711952183
63.1578947368421,CO2,0.454404602064594,0.005160301805441018
64.66165413533834,CO2,0.46210640100792766,0.005083283816007681
66.16541353383458,CO2,0.46969324987818417,0.005007415327305116
67.66917293233082,CO2,0.47716686431600774,0.00493267918292688
69.17293233082707,CO2,0.48452893435594485,0.00485905848252751
70.67669172932331,CO2,0.49178112480861713,0.004786536578000786
72.18045112781954,CO2,0.4989250756371914,0.004715097069715043
73.68421052631578,CO2,0.5059624023282305,0.0046447238028046525
75.18796992481202,CO2,0.5128946962570078,0.00457540086351688
76.69172932330827,CO2,0.5197235250473716,0.004507112575613242
78.19548872180451,CO2,0.5264504329262369,0.004439843496824588
79.69924812030075,CO2,0.5330769410727866,0.004373578415359092
81.203007518797,CO2,0.5396045479624617,0.0043083023464623406
82.70676691729322,CO2,0.5460347297058161,0.004244000529028797
84.21052631578947,CO2,0.5523689403823151,0.004180658422263807
85.71428571428571,CO2,0.5586086123691512,0.004118261702395446
87.21804511278195,CO2,0.564755156665153,0.004056796259435428
88.7218045112782,CO2,0.5708099632098583,0.003996248193988374
90.22556390977444,CO2,0.5767744011978276,0.003936603814108681
91.72932330827066,CO2,0.5826498193882631,0.0038778496322043267
93.23308270676691,CO2,0.5884375464100096,0.003819972361986862
94.73684210526315,CO2,0.5941388910620012,0.003762958915466945
96.2406015037594,CO2,0.5997551426092254,0.003706796399994704
97.74436090225564,CO2,0.6052875710742679,0.0036514721153442786
99.24812030075188,CO2,0.6107374275245084,0.0035969735508418733
100.75187969924812,CO2,0.6161059443550285,0.0035432883825366724
