pressure_bar,component,equilibrium_loading_mol_kg
0.0001,CO2,0.0002999436112057603
0.00010292747724096089,CO2,0.0003087226934119798
0.0001059406557118851,CO2,0.0003177586803562495
0.00010904204429677526,CO2,0.0003270590868743733
0.00011223422532664173,CO2,0.0003366316474414751
0.00011551985672964792,CO2,0.000346484322580772
0.00011890167424419898,CO2,0.00035662530545870483
0.00012238249369681925,CO2,0.0003670630286718157
0.000125965213346714,CO2,0.0003778061712309027
0.00012965281629896688,CO2,0.0003888636657481423
0.00013344837298838385,CO2,0.00040024470583303727
0.00013735504373605135,CO2,0.0004119587537032082
0.00014137608138073613,CO2,0.00042401554801621604
0.00014551483398731938,CO2,0.00043642511192878454
0.00014977474763452016,CO2,0.0004491977613899709
0.00015415936928422718,CO2,0.0004623441136750063
0.00015867234973483178,CO2,0.00047587509616674027
0.00016331744666101683,CO2,0.0004898019553917915
0.00016809852774253637,CO2,0.000504136266318733
0.00017301957388458943,CO2,0.00051888994192583
0.0001780846825324681,CO2,0.0005340752430460593
0.00018329807108324357,CO2,0.0005497047884973732
0.00018866408039732582,CO2,0.0005657915655063697
0.0001941871784128255,CO2,0.0005823489404337787
0.00019987196386572507,CO2,0.0005993906698104064
0.00020572317011895573,CO2,0.0006169309116924014
0.0002117456691035712,CO2,0.000634984237344988
0.00021794447537529856,CO2,0.000653565643264037
0.00022432475028984203,CO2,0.0006726905635451133
0.00023089180630041925,CO2,0.0006923748826099172
0.00023765111138110754,CO2,0.0007126349483003009
0.0002446082935796798,CO2,0.0007334875853503153
0.0002517691457037277,CO2,0.0007549501092470622
0.000259139630143966,CO2,0.0007770403404913764
0.0002667258838387405,CO2,0.0007997766192697143
0.0002745342233838714,CO2,0.0008231778205489053
0.00028257115029208267,CO2,0.0008472633696057462
0.00029084335640640476,CO2,0.0008720532580037664
0.00029935772947204905,CO2,0.0008975680600297975
0.0003081213588714002,CO2,0.000923828949603351
0.0003171415415268999,CO2,0.0009508577176721505
0.0003264257879767324,CO2,0.000978676790107513
0.0003359818286283781,CO2,0.0010073092461136744
0.0003458176201952381,CO2,0.0010367788371655115
0.00035594135232168623,CO2,0.0010671100064894917
0.00036636145440207163,CO2,0.001098327909103116
0.00037708660259934553,CO2,0.0011304584324285
0.000388125727069154,CO2,0.0011635282174961442
0.00039948801939541706,CO2,0.001197564680755414
0.00041118294024358287,CO2,0.0012325960365086486
0.00042322022723792756,CO2,0.0012686513199862742
0.0004356099030694608,CO2,0.0013057604110807597
0.00044836228384119057,CO2,0.0013439540587577281
0.00046148798765769386,CO2,0.0013832639061629945
0.00047499794346614126,CO2,0.0014237225164447935
0.0004889034001561443,CO2,0.001465363399310983
0.0005032159359259994,CO2,0.0015082210383414979
0.0005179474679231213,CO2,0.0015523309190768335
0.0005331102621667032,CO2,0.00159772955790392
0.0005487169437608605,CO2,0.0016444545317612557
0.0005647805074067558,CO2,0.001692544508685697
0.0005813143282224713,CO2,0.001742039279223948
0.0005983321728796288,CO2,0.001792979788732296
0.0006158482110660267,CO2,0.001845408170588736
0.0006338770272838487,CO2,0.001899367780342272
0.0006524336329932622,CO2,0.001954903230824761
0.0006715334791115142,CO2,0.0020120604282512565
0.0006911924688779366,CO2,0.0020708866093355114
0.0007114269710955731,CO2,0.0021314303794478955
